Identifier,lat1,lon1,lat2,lon2,distance
1527,38.438161,-122.674190,38.347174,-122.695370,10.284301
1528,53.629221,-3.016421,51.505060,-0.147532,305.540672
1529,38.063170,-122.541110,38.347174,-122.695370,34.335997
1530,51.204369,-1.498667,51.595989,-0.136335,104.055332
1531,32.931950,-97.084980,36.152607,-86.789270,1008.054152
1532,30.056394,-95.389610,36.125504,-115.164238,1957.492050
1533,52.385334,-1.505710,51.472438,-3.165064,152.470359
1534,32.888990,-83.722040,36.211492,-86.692496,458.740081
1535,51.557783,-0.065017,51.520184,-0.071013,4.201370
1536,33.745739,-84.376400,36.171909,-115.139969,2804.749990
1537,37.743381,-122.485780,36.125504,-115.164238,674.942628
1538,51.452804,-0.320146,51.543051,-0.151324,15.403686
1539,33.879003,-84.372030,28.541879,-81.374460,658.281634
1540,37.743381,-122.485780,40.232713,-74.031430,4144.723895
1541,35.797692,-78.625265,26.010410,-80.160080,1098.054027
1542,51.514374,-0.183704,51.505060,-0.147532,2.709073
1543,37.295092,-121.896490,37.792778,-122.421880,72.167325
1544,54.546692,-3.590398,51.505060,-0.147532,409.044248
1545,43.399180,-114.258650,43.750744,-114.519800,44.393380
1546,43.399180,-114.258650,43.750744,-114.519800,44.393380
1547,25.832374,-80.278740,26.010410,-80.160080,23.081059
1548,53.600069,-3.039627,51.505060,-0.147532,304.089765
1549,52.024787,-0.521498,51.503520,-0.224147,61.468231
1550,41.940832,-87.658520,41.949847,-87.658800,1.002690
1551,50.731502,-3.555503,51.472438,-3.165064,86.781262
1552,51.545823,-0.082130,51.543051,-0.151324,4.794864
1553,35.805008,-81.241310,39.289004,-76.607175,562.866421
1554,41.816548,-87.984128,36.152607,-86.789270,638.192682
1555,51.557501,-0.171224,51.520184,-0.071013,8.078000
1556,41.969995,-87.671495,41.949847,-87.658800,2.474074
1557,41.930983,-73.882710,42.687302,-74.919456,119.750676
1558,53.341973,-1.251587,53.469422,-2.221964,65.866726
1559,53.313192,-1.530185,53.469422,-2.221964,49.051321
1560,46.812118,-96.839000,46.860864,-96.816020,5.695197
1561,41.657803,-90.086130,36.125504,-115.164238,2246.878843
1562,53.361585,-1.306376,53.469422,-2.221964,61.851788
1563,41.657803,-90.086130,36.171909,-115.139969,2242.824145
1564,50.411445,-5.087327,51.543051,-0.151324,367.682339
1565,52.873354,-0.853442,52.387201,-1.991667,93.931380
1566,26.344128,-98.180110,26.010410,-80.160080,1797.144827
1567,33.544596,-111.956450,36.211492,-86.692496,2316.966756
1568,51.991535,-4.975831,51.472438,-3.165064,137.408712
1569,51.412349,-0.810219,51.472438,-3.165064,163.339094
1570,51.554358,-0.119998,51.505060,-0.147532,5.803145
1571,51.447054,-0.124725,51.505060,-0.147532,6.640629
1572,40.129509,-75.061150,33.791515,-84.374130,1085.788609
1573,42.029330,-93.609660,41.886456,-87.623250,495.161597
1574,25.753177,-80.233270,26.010410,-80.160080,29.525346
1575,33.874137,-117.829631,36.152607,-86.789270,2826.187122
1576,53.557013,-0.632841,53.803482,-1.542174,65.860716
1577,51.453425,-0.103831,51.520184,-0.071013,7.763218
1578,51.496666,-0.216982,51.505060,-0.147532,4.897013
1579,28.069755,-82.557340,51.472438,-3.165064,6895.401476
1580,51.525048,-0.073719,51.520184,-0.071013,0.572400
1581,42.646089,-92.473000,36.211492,-86.692496,870.376105
1582,42.047178,-87.890580,41.886456,-87.623250,28.423378
1583,47.614870,-122.345780,36.125504,-115.164238,1407.660046
1584,52.328154,0.847891,51.472438,-3.165064,291.262842
1585,53.400718,-2.569860,52.387201,-1.991667,119.184700
1586,38.440111,-122.745630,38.347174,-122.695370,11.224084
1587,39.990764,-83.001170,51.472438,-3.165064,6010.902497
1588,52.088655,-2.118027,51.472438,-3.165064,99.412576
1589,30.344305,-97.763800,30.267204,-97.742310,8.817943
1590,25.941535,-80.138610,26.010410,-80.160080,7.953615
1591,41.871331,-87.812350,41.949847,-87.658800,15.416608
1592,34.164255,-118.544720,32.715329,-117.157255,206.226335
1593,51.490145,-3.172464,51.472438,-3.165064,2.034565
1594,37.770937,-122.442760,37.792778,-122.421880,3.043902
1595,53.392520,-2.032080,51.505060,-0.147532,245.661044
1596,37.770937,-122.442760,37.792778,-122.421880,3.043902
1597,40.126271,-75.523410,38.917866,-77.023722,186.045671
1598,39.712220,-105.089180,39.740118,-104.975305,10.220821
1599,34.690040,-79.188020,35.947399,-79.321320,140.334019
1600,40.745341,-73.939070,-22.964094,-43.356972,7757.378526
1601,42.818747,-88.732790,43.074528,-89.380771,59.921187
1602,51.526837,-0.125932,51.541484,-0.145308,2.109206
1603,41.921126,-87.700850,41.949847,-87.658800,4.722042
1604,52.990833,-1.313117,51.472438,-3.165064,210.729957
1605,37.914363,-88.122640,36.152607,-86.789270,228.869501
1606,51.671429,-1.343227,51.472438,-3.165064,127.835177
1607,33.759002,-84.273352,51.472438,-3.165064,6562.463478
1608,39.759386,-104.919450,40.008020,-105.276575,41.144487
1609,39.599755,-105.130520,39.740118,-104.975305,20.496054
1610,39.759386,-104.919450,39.740118,-104.975305,5.233759
1611,51.070048,-1.336685,51.505060,-0.147532,95.802952
1612,35.807458,-78.700860,35.591435,-82.550915,348.466815
1613,37.720931,-122.442410,36.125504,-115.164238,670.659913
1614,38.775716,-77.231310,38.932185,-77.266278,17.660053
1615,37.524890,-122.509910,51.472438,-3.165064,8500.071475
1616,42.381929,-71.099080,42.346997,-71.102150,3.892442
1617,51.538101,-0.041963,51.520184,-0.071013,2.829785
1618,29.773128,-96.393420,36.211492,-86.692496,1152.634535
1619,33.542118,-83.933720,43.896889,-78.859039,1232.050638
1620,38.221179,-84.554650,51.472438,-3.165064,6241.619322
1621,25.837696,-80.369470,36.125504,-115.164238,3486.760323
1622,29.584698,-98.469870,30.267204,-97.742310,103.321825
1623,37.037946,-76.344150,36.211492,-86.692496,927.587370
1624,47.610670,-122.334380,47.613499,-122.297333,2.794876
1625,35.327341,-96.935440,36.152607,-86.789270,919.894519
1626,33.547578,-84.218090,36.211492,-86.692496,372.376421
1627,43.583224,-70.352680,42.346997,-71.102150,150.380534
1628,32.742892,-117.127740,32.715329,-117.157255,4.125010
1629,53.876640,-1.909812,51.505060,-0.147532,289.197966
1630,33.195354,-117.282320,36.171909,-115.139969,384.572808
1631,37.898058,-122.541340,48.431202,-123.361465,1173.100046
1632,40.092610,-75.041180,36.171909,-115.139969,3504.405774
1633,38.098221,-122.598090,39.526160,-119.813670,288.790936
1634,47.893451,-122.197970,48.431202,-123.361465,104.985903
1635,33.799330,-86.028600,36.211492,-86.692496,274.949093
1636,33.979401,-84.151180,51.472438,-3.165064,6537.314314
1637,42.361271,-87.861870,36.152607,-86.789270,696.503347
1638,33.714889,-117.763300,36.171909,-115.139969,363.032694
1639,42.332099,-71.096510,42.346997,-71.102150,1.720219
1640,39.093408,-77.171800,38.917866,-77.023722,23.339265
1641,47.843110,-122.204570,49.031204,-122.287300,132.250921
1642,47.632870,-122.322530,49.031204,-122.287300,155.509473
